 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1590,         2.6509,        -0.4141,         2.2368,         0.8255,         1.2435,       156.5125,        63.7665,       158.3380,       298.3290,       283.8948,       453.7411,         0.9933,     85436.8984,     71424.7969
   1591,         3.7577,        -1.2898,         2.4679,         1.1257,         1.4200,       156.6630,        63.8227,       158.5684,       298.2703,       283.8869,       453.8195,         1.0479,     85436.2266,     71424.9844
   1592,         1.9760,         0.2138,         2.1898,         0.3991,         1.0965,       156.4501,        63.8062,       158.5079,       298.1846,       283.8768,       453.9006,         1.0933,     85435.4766,     71425.1719
   1593,         3.2394,        -0.7819,         2.4575,         1.0139,         1.3929,       156.5449,        63.8512,       158.6935,       298.1256,       283.8689,       453.9755,         1.0645,     85434.7812,     71425.3594
   1594,         4.1144,        -1.4170,         2.6974,         1.2606,         1.5718,       156.7626,        63.9209,       158.9776,       298.0250,       283.8575,       454.0582,         1.1256,     85434.0312,     71425.5469
   1595,         4.4482,        -1.6265,         2.8217,         1.2464,         1.6070,       156.9727,        63.9892,       159.2556,       297.8618,       283.8411,       454.1511,         1.2147,     85433.2656,     71425.8047
   1596,         2.7941,        -0.0499,         2.7441,         0.9362,         1.4932,       157.0272,        64.0269,       159.4115,       297.6756,       283.8228,       454.2444,         1.2510,     85432.4922,     71426.0547
   1597,         2.8717,        -0.2273,         2.6444,         0.9118,         1.4722,       157.0695,        64.0631,       159.5611,       297.5472,       283.8086,       454.3250,         1.1722,     85431.7031,     71426.2500
   1598,         3.9386,        -0.8347,         3.1040,         1.6156,         1.8543,       157.4633,        64.1705,       159.9954,       297.3557,       283.7888,       454.4178,         1.2497,     85430.9531,     71426.5312
   1599,         4.7078,        -1.2472,         3.4606,         2.0307,         2.0639,       158.0632,        64.3203,       160.5989,       297.0540,       283.7596,       454.5302,         1.3967,     85430.0625,     71426.8516
   1600,         4.1929,        -0.6883,         3.5046,         1.7680,         1.9408,       158.5300,        64.4438,       161.0968,       296.6390,       283.7212,       454.6583,         1.5637,     85429.1875,     71427.2266
   1601,         1.5843,         1.1604,         2.7447,         0.2800,         1.2244,       158.2528,        64.4158,       160.9888,       296.2824,       283.6888,       454.7657,         1.5203,     85428.2656,     71427.6016
   1602,         3.5860,        -0.3551,         3.2309,         1.3926,         1.7788,       158.5321,        64.4983,       161.3231,       295.9792,       283.6611,       454.8642,         1.4521,     85427.4219,     71427.9766
   1603,         3.2978,         0.1805,         3.4783,         1.6827,         1.9218,       158.9555,        64.6098,       161.7730,       295.5972,       283.6267,       454.9774,         1.5564,     85426.4844,     71428.3516
   1604,         1.9079,         1.5552,         3.4631,         1.6512,         1.8715,       159.3618,        64.7179,       162.2088,       295.1821,       283.5896,       455.0933,         1.5916,     85425.5469,     71428.7266
   1605,         1.7572,         1.0740,         2.8312,         0.5753,         1.3046,       159.2297,        64.7183,       162.2137,       294.7929,       283.5542,       455.2008,         1.5266,     85424.6094,     71429.1016
   1606,         2.4813,         0.4878,         2.9691,         0.8465,         1.4503,       159.2336,        64.7458,       162.3270,       294.4094,       283.5193,       455.3067,         1.5188,     85423.6719,     71429.4766
   1607,         1.9985,         0.9622,         2.9607,         0.9101,         1.4975,       159.2693,        64.7796,       162.4657,       294.0734,       283.4880,       455.4023,         1.4631,     85422.7422,     71429.8516
